Datetime,Open,High,Low,Close,Volume
7/5/2024 0:00,2356.845,2357.555,2356.12,2357.125,858
7/5/2024 0:15,2357.215,2357.63,2356.72,2357.08,887
7/5/2024 0:30,2357.05,2358.93,2356.935,2358.38,1256
7/5/2024 0:45,2358.375,2359.125,2358.06,2358.935,1578
7/5/2024 1:00,2358.93,2360.4,2358.245,2359.685,2105
7/5/2024 1:15,2359.675,2360.19,2357.605,2357.85,2252
7/5/2024 1:30,2357.84,2358.41,2357.225,2358.28,1652
7/5/2024 1:45,2358.265,2359.435,2356.965,2358.47,1797
7/5/2024 2:00,2358.485,2361.105,2358.16,2360.21,1575
7/5/2024 2:15,2360.215,2362.165,2359.565,2361.71,1094
7/5/2024 2:30,2361.725,2363.2,2361,2361.675,2226
7/5/2024 2:45,2361.67,2363.17,2359.91,2360.535,1642
7/5/2024 3:00,2360.53,2362.405,2360.285,2361.165,1471
7/5/2024 3:15,2361.17,2361.675,2360.44,2361.195,1683
7/5/2024 3:30,2361.255,2361.365,2359.65,2360.83,1337
7/5/2024 3:45,2360.825,2362.13,2360.1,2361.88,839
7/5/2024 4:00,2361.875,2362.535,2361.455,2362.505,1030
7/5/2024 4:15,2362.5,2363.065,2361.69,2362.91,783
7/5/2024 4:30,2362.915,2363.08,2362.195,2362.665,885
7/5/2024 4:45,2362.675,2364.75,2362.37,2364.03,976
7/5/2024 5:00,2364.015,2364.19,2362.685,2363.36,928
7/5/2024 5:15,2363.365,2363.955,2362.795,2362.795,1008
7/5/2024 5:30,2362.8,2364.23,2362.8,2363.885,1683
7/5/2024 5:45,2363.83,2365.075,2363.72,2364.81,1691
7/5/2024 6:00,2364.82,2366.38,2364.765,2365.67,2063
7/5/2024 6:15,2365.665,2366.1,2363.845,2364.025,2108
7/5/2024 6:30,2364.025,2365.17,2363.665,2364.16,2098
7/5/2024 6:45,2364.09,2365.19,2363.705,2364.03,2051
7/5/2024 7:00,2364.015,2365.005,2362.755,2364.435,1630
7/5/2024 7:15,2364.47,2364.84,2362.33,2363.515,1719
7/5/2024 7:30,2363.495,2367.535,2363.055,2366.92,1916
7/5/2024 7:45,2366.93,2367.325,2364.945,2365.33,2072
7/5/2024 8:00,2365.335,2367.79,2364.71,2367.505,1853
7/5/2024 8:15,2367.6,2368.155,2366.055,2366.89,1841
7/5/2024 8:30,2366.9,2367.53,2365.665,2366.94,1391
7/5/2024 8:45,2366.9,2367.29,2365.21,2366.55,1457
7/5/2024 9:00,2366.605,2366.96,2365.53,2365.765,993
7/5/2024 9:15,2365.77,2366.41,2365.145,2365.235,1202
7/5/2024 9:30,2365.21,2365.46,2364.155,2365.235,1318
7/5/2024 9:45,2365.23,2365.37,2362.09,2362.51,1817
7/5/2024 10:00,2362.385,2363.935,2361.925,2363.175,1705
7/5/2024 10:15,2363.18,2365.105,2362.255,2364.915,1596
